# name-mention-classification.tsv — XSPEC-389 R1（2026-08-21 分類）
# 欄位: path<TAB>line<TAB>category<TAB>match<TAB>reason
# category ∈ {substantive(實質引用), incidental(順帶提及), dead(已死引用)}
# match = 分類當下該行 trim 後內容；scripts/check-name-mention-classification.ts 用它偵測漂移——
#         行內容變了或行號移了，該筆會落回「判不了」而非沿用舊分類。
# 維護方式：跑 npm run check:name-mentions，把它列出的未分類/漂移命中逐筆補回這裡。
core/verification-oracle.md	27	incidental	> output). Enforcement engine wiring (e.g. VibeOps pipeline gates) is a downstream	「e.g. VibeOps pipeline gates」下游示例
core/verification-oracle.md	154	incidental	- DEC-075 — VibeOps domain-neutral positioning (neutral mechanism)	References 清單 DEC-075 標題
docs/MIGRATION-v6.md	62	incidental	| `uds start`, `uds mission:*` (status/pause/resume/cancel/list) | Use your adoption layer's mission runtime (e.g. VibeOps orchestrator) |	遷移對照表「如 VibeOps orchestrator」為採用層示例
docs/user/GLOSSARY.md	111	incidental	A specification document in `dev-platform/cross-project/specs/XSPEC-NNN-*.md`. Used for features that affect multiple sub-projects (UDS, VibeOps, telemetry) or for new UDS features.	術語表 XSPEC 詞條列舉子專案（R1 定義將術語表歸為順帶提及）
flows/skill-tiering-rationale.md	40	incidental	[DEC-051](https://github.com/AsiaOstrich/dev-platform/blob/main/cross-project/decisions/DEC-051-uds-vibeops-classification-model.md) defines: **Standards → Skills → Flows → Adapters**. Tiering is **orthogonal** to that classification — all tiered items are Skills layer; tier is a *frequency* axis, DEC-051 is a *kind* axis.	名稱內嵌於 dev-platform DEC-051 檔名/連結標題（目標檔實存於 dev-platform）
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C3_r1.txt	140	incidental	// POST /api/v1/ingest/pipeline-run (XSPEC-055 VibeOps PipelineRunEvent)	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C3_r1.txt	148	incidental	// POST /api/v1/ingest/product-event (XSPEC-241 VibeOps 核心產品事件)	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C3_r1.txt	1018	incidental	<h2>執行統計（DevAP / VibeOps）</h2>	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C3_r1.txt	1162	incidental	<title>VibeOps — 廠長 Dashboard</title>	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C3_r2.txt	140	incidental	// POST /api/v1/ingest/pipeline-run (XSPEC-055 VibeOps PipelineRunEvent)	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C3_r2.txt	148	incidental	// POST /api/v1/ingest/product-event (XSPEC-241 VibeOps 核心產品事件)	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C3_r2.txt	1018	incidental	<h2>執行統計（DevAP / VibeOps）</h2>	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C3_r2.txt	1162	incidental	<title>VibeOps — 廠長 Dashboard</title>	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C3_r3.txt	140	incidental	// POST /api/v1/ingest/pipeline-run (XSPEC-055 VibeOps PipelineRunEvent)	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C3_r3.txt	148	incidental	// POST /api/v1/ingest/product-event (XSPEC-241 VibeOps 核心產品事件)	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C3_r3.txt	1018	incidental	<h2>執行統計（DevAP / VibeOps）</h2>	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C3_r3.txt	1162	incidental	<title>VibeOps — 廠長 Dashboard</title>	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C4_r1.txt	140	incidental	// POST /api/v1/ingest/pipeline-run (XSPEC-055 VibeOps PipelineRunEvent)	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C4_r1.txt	148	incidental	// POST /api/v1/ingest/product-event (XSPEC-241 VibeOps 核心產品事件)	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C4_r1.txt	1018	incidental	<h2>執行統計（DevAP / VibeOps）</h2>	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C4_r1.txt	1162	incidental	<title>VibeOps — 廠長 Dashboard</title>	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C4_r2.txt	140	incidental	// POST /api/v1/ingest/pipeline-run (XSPEC-055 VibeOps PipelineRunEvent)	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C4_r2.txt	148	incidental	// POST /api/v1/ingest/product-event (XSPEC-241 VibeOps 核心產品事件)	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C4_r2.txt	1018	incidental	<h2>執行統計（DevAP / VibeOps）</h2>	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C4_r2.txt	1162	incidental	<title>VibeOps — 廠長 Dashboard</title>	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C4_r3.txt	140	incidental	// POST /api/v1/ingest/pipeline-run (XSPEC-055 VibeOps PipelineRunEvent)	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C4_r3.txt	148	incidental	// POST /api/v1/ingest/product-event (XSPEC-241 VibeOps 核心產品事件)	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C4_r3.txt	1018	incidental	<h2>執行統計（DevAP / VibeOps）</h2>	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
integrations/verification/_baselines/codex-0.145.0/longcontext-factorial/C4_r3.txt	1162	incidental	<title>VibeOps — 廠長 Dashboard</title>	凍結的驗證基線（codex 模型輸出樣本），歷史量測產物；名稱僅為 fixture 內容
locales/zh-CN/CHANGELOG.md	548	incidental	- **`docs/user/` 用户文档体系**（XSPEC-211）：新增双轨文档结构，仿照 VibeOps 惯例，包含 8 份文档：	變更紀錄鏡像，歷史敘述
locales/zh-CN/CHANGELOG.md	661	incidental	- **下游项目解耦**（6 批次，`ebe716c`–`2392c0f`）：所有公开叙述中对特定下游产品（DevAP / VibeOps）的直接引用已替换为采用层中性术语，涵盖 130+ 个文件。UDS 重申为纯 MIT + CC BY 4.0 标准库，与任何特定采用层无依赖关系。	變更紀錄鏡像，歷史敘述
locales/zh-CN/core/feature-manifest-standard.md	21	incidental	Feature Manifest 标准定义一种机器可读格式（`feature-manifest.yaml`），用于在迁移或重构开始前，盘点既有系统的所有功能。它在旧系统的能力与新系统的验收标准之间提供结构化的桥梁，让工具（VibeOps `/vo-pipeline --variant migration`）能自动强制执行完整性闸门。	feature-manifest zh-CN 鏡像：工具實例括號，同 en
locales/zh-CN/core/license-compliance.md	47	substantive	对生成代码的 AI Agent（VibeOps Generator Agent 及同等者）具有约束力。	license-compliance zh-CN 鏡像：規範性約束對象點名，同 en :36
locales/zh-CN/core/license-compliance.md	121	incidental	- DEC-063 — VibeOps 法务与合规策略	References 清單 DEC-063 標題（zh-CN 鏡像）
locales/zh-CN/core/smoke-test.md	36	incidental	BASE_URL="${VIBEOPS_URL:-http://localhost:3000}"	範例腳本 VIBEOPS_URL 示例（zh-CN 鏡像）
locales/zh-CN/core/smoke-test.md	69	incidental	VIBEOPS_URL: http://localhost:3000	範例 CI 片段 VIBEOPS_URL 示例（zh-CN 鏡像）
locales/zh-CN/docs/MIGRATION-v6.md	62	incidental	| `uds start`、`uds mission:*`（status/pause/resume/cancel/list）| 用采用层的 mission runtime（如 VibeOps orchestrator）|	遷移對照表採用層示例（zh-CN 鏡像）
locales/zh-CN/docs/user/GLOSSARY.md	118	incidental	位于 `dev-platform/cross-project/specs/XSPEC-NNN-*.md` 的规格文件。用于影响多个子项目（UDS、VibeOps、telemetry）的功能，或新的 UDS 功能。	術語表詞條列舉子專案（zh-CN 鏡像）
locales/zh-TW/CHANGELOG.md	578	incidental	- **`docs/user/` 使用者文件體系**（XSPEC-211）：新增雙軌文件結構，仿照 VibeOps 慣例，包含 8 份文件：	變更紀錄鏡像，歷史敘述
locales/zh-TW/CHANGELOG.md	691	incidental	- **下游專案解耦**（6 批次，`ebe716c`–`2392c0f`）：所有公開敘述中對特定下游產品（DevAP / VibeOps）的直接引用已替換為採用層中性術語，涵蓋 130+ 個檔案。UDS 重申為純 MIT + CC BY 4.0 標準庫，與任何特定採用層無依賴關係。	變更紀錄鏡像，歷史敘述
locales/zh-TW/core/audit-trail.md	26	substantive	（DEC-041）與 VibeOps Governance Agent 介入紀錄（DEC-042）的核心載體，並與治理閘門	audit-trail zh-TW 鏡像：VibeOps Governance Agent 紀錄載體宣告，同 en :21
locales/zh-TW/core/audit-trail.md	104	incidental	- DEC-020 — VibeOps 商業雙授權（授權合規稽核）	References 清單 DEC-020 標題（zh-TW 鏡像）
locales/zh-TW/core/feature-manifest-standard.md	21	incidental	Feature Manifest 標準定義一種機器可讀格式（`feature-manifest.yaml`），用於在遷移或重構開始前，盤點既有系統的所有功能。它在舊系統的能力與新系統的驗收標準之間提供結構化的橋樑，讓工具（VibeOps `/vo-pipeline --variant migration`）能自動強制執行完整性閘門。	feature-manifest zh-TW 鏡像：工具實例括號，同 en
locales/zh-TW/core/license-compliance.md	47	substantive	對產生程式碼的 AI Agent（VibeOps Generator Agent 及同等者）具有約束力。	license-compliance zh-TW 鏡像：規範性約束對象點名，同 en :36
locales/zh-TW/core/license-compliance.md	121	incidental	- DEC-063 — VibeOps 法務與合規策略	References 清單 DEC-063 標題（zh-TW 鏡像）
locales/zh-TW/core/model-provenance.md	35	incidental	> 的業務決策（DEC-075 中立機制 / DEC-063 合規姿態歸客戶）。執行引擎接線（如 VibeOps provider	「如 VibeOps provider…」下游接線示例（zh-TW 鏡像）
locales/zh-TW/core/model-provenance.md	164	incidental	- DEC-075 — VibeOps 領域中立定位（中立機制 / 政策歸生態）	References 清單 DEC-075 標題（zh-TW 鏡像）
locales/zh-TW/core/resource-cost-boundary.md	31	incidental	> 被宣告與強制」，而非「該設*多少*數字」。執行引擎接線（如 VibeOps 主動成本治理執行器）屬	「如 VibeOps 主動成本治理執行器」下游示例（zh-TW 鏡像）
locales/zh-TW/core/resource-cost-boundary.md	36	substantive	VibeOps 已有成本機制，但 **分散且未標準化**——各自是點狀機制，沒有一份標準說「每個 LLM	resource-cost-boundary zh-TW 鏡像：動機段落對實際產品的事實宣稱，同 en :32
